date	temp
2016-03-30 16:50:01	73.175
2016-03-30 17:02:02	73.4
2016-03-30 17:06:01	73.175
2016-03-30 17:34:02	73.4
2016-03-30 17:44:01	73.175
2016-03-30 17:46:02	73.4
2016-03-30 18:32:02	73.175
2016-03-30 18:58:01	72.95
2016-03-30 19:02:02	73.175
2016-03-30 19:03:01	72.95
2016-03-30 19:04:01	73.175
2016-03-30 19:13:01	72.95
2016-03-30 19:37:01	73.175
2016-03-30 19:38:01	72.95
2016-03-30 19:39:02	73.175
2016-03-30 20:12:01	72.95
2016-03-30 20:23:01	73.175
2016-03-30 22:48:01	72.95
2016-03-30 23:40:01	72.725
2016-03-30 23:41:02	72.95
2016-03-30 23:44:02	72.725
2016-03-31 00:31:01	72.5
2016-03-31 00:32:01	72.725
2016-03-31 00:35:01	72.5
2016-03-31 00:36:01	72.725
2016-03-31 00:37:02	72.5
2016-03-31 01:27:01	72.275
2016-03-31 02:20:01	72.05
2016-03-31 03:05:01	71.825
2016-03-31 03:06:01	72.05
2016-03-31 03:07:02	71.825
2016-03-31 03:54:01	71.6
2016-03-31 04:42:02	71.375
2016-03-31 05:32:02	71.15
2016-03-31 06:19:01	70.925
2016-03-31 06:20:01	71.15
2016-03-31 06:21:02	70.925
2016-03-31 07:45:01	70.7
2016-03-31 07:46:01	70.925
2016-03-31 07:49:01	70.7
2016-03-31 09:07:01	70.925
2016-03-31 09:19:01	71.15
2016-03-31 09:29:01	70.925
2016-03-31 09:47:01	70.7
2016-03-31 10:04:02	70.475
2016-03-31 10:12:01	70.7
2016-03-31 10:13:02	70.475
2016-03-31 10:14:01	70.7
2016-03-31 10:27:01	70.475
2016-03-31 10:29:01	70.7
2016-03-31 10:42:01	70.925
2016-03-31 10:44:01	70.7
2016-03-31 10:45:01	70.925
2016-03-31 10:46:01	70.7
2016-03-31 10:47:01	70.925
2016-03-31 10:51:01	70.7
2016-03-31 10:52:01	70.925
2016-03-31 11:06:02	71.15
2016-03-31 11:19:01	71.375
2016-03-31 11:24:02	71.15
2016-03-31 11:25:01	71.375
2016-03-31 12:34:01	71.6
2016-03-31 13:10:01	71.825
2016-03-31 13:37:02	72.05
2016-03-31 13:49:02	72.275
2016-03-31 13:59:02	72.5
2016-03-31 14:22:01	72.725
2016-03-31 14:38:01	72.95
2016-03-31 14:45:02	73.175
2016-03-31 15:06:02	73.4
2016-03-31 15:32:01	73.625
2016-03-31 15:33:01	73.4
2016-03-31 15:34:02	73.625
2016-03-31 16:03:01	73.85
2016-03-31 17:00:01	74.075
2016-03-31 17:18:02	74.3
2016-03-31 17:36:02	74.075
2016-03-31 17:41:01	74.3
2016-03-31 20:41:02	74.075
2016-03-31 20:43:01	74.3
2016-03-31 20:45:01	74.075
2016-03-31 20:47:02	74.3
2016-03-31 20:56:02	74.525
2016-03-31 21:30:02	74.75
2016-03-31 21:31:01	74.525
2016-03-31 21:32:01	74.75
2016-03-31 21:35:01	74.525
2016-03-31 22:12:01	74.3
2016-03-31 22:13:01	74.525
2016-03-31 22:14:02	74.3
2016-03-31 23:10:01	74.075
2016-03-31 23:11:01	74.3
2016-03-31 23:13:01	74.075
2016-04-01 00:16:01	73.85
2016-04-01 00:17:02	74.075
2016-04-01 00:18:01	73.85
2016-04-01 00:20:02	74.075
2016-04-01 00:21:01	73.85
2016-04-01 01:44:01	73.625
2016-04-01 01:45:01	73.85
